128, 0, 2472.6, 37676.6, 2375.340, 0.46
128, 1, 1194.0, 47386.4, 0.024, 0.43
128, 2, 2373.6, 73277.2, 2323.736, 0.46
128, 3, 2924.2, 81080.2, 1987.570, 0.47
128, 4, 1176.8, 36706.2, 0.022, 0.43
128, 5, 2941.2, 46855.6, 1924.270, 0.47
512, 0, 1022019.6, 17066136.8, 1900.024, 3.29
512, 1, 66899.4, 2479322.4, 0.006, 0.41
512, 2, 1012175.2, 2555677.8, 1677.302, 3.22
512, 3, 1963011.8, 18523808.0, 2119.512, 4.99
512, 4, 72220.4, 8025583.2, 0.010, 0.45
512, 5, 1955114.4, 18025796.8, 2113.716, 4.97
1024, 0, 9527251.4, 93892907.4, 1611.058, 3.79
1024, 1, 593359.8, 19241602.8, 0.010, 0.47
1024, 2, 9360364.6, 45598396.6, 1393.638, 3.73
1024, 3, 18279286.4, 305495399.4, 2081.608, 5.84
1024, 4, 830296.4, 74699293.8, 0.010, 0.65
1024, 5, 17779759.8, 380496209.0, 2056.210, 5.83
